མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
༄༅། །དm་པའི་ཆོས་པདྨ་དཀར་པོའི་འགྲེལ་པ་བཞུགས།,476,2,1,,mཚན་བྱང་འདི་83ལྟར་བཀོད་ཅིང་། 72ལ་དམ་པའི་ཆོས་པདྨ་དཀར་པོའི་འགྲེལ་པ་སིངྒ་གླིང་གི་སློབ་དཔོན་སའི་རྩ་ལག་གིས་མཛད་པ་རྒྱ་ལས་བསྒྱུར་བ་བཞུགས། ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,རི།,
,,4,3,《པེ་》《སྣར་》,པའི།,
,,5,4,《པེ་》《སྣར་》,འགྲུབ།,
,,6,5,《པེ་》《སྣར་》,གྱི་བསྟན།,
,477,7,1,《པེ་》《སྣར་》,འཐོབ།,
,,8,2,《པེ་》《སྣར་》,pལྟས་ཆེན་པོ་བསྟན་ནས་མདོ་སྡེ་འདི་སྟོན་ཏེ།,
,,9,3,《པེ་》,བ་སུ་བན་དྷུས།,《སྣར་》,བ་སུ་བནྡུས།
,,10,4,《པེ་》《སྣར་》,ཀྱི།,
,,11,5,《པེ་》《སྣར་》,བཟུང་།,
,,12,6,《པེ་》,ལ།,
,,13,7,《པེ་》《སྣར་》,འཐོབ།,
,478,14,1,《པེ་》《སྣར་》,pད།,
,,15,2,《པེ་》《སྣར་》,mདེ་ཉིད།,
,,16,3,《པེ་》《སྣར་》,བཅའ་ཞིང།,
,,17,4,《པེ་》《སྣར་》,པ།,
,,18,5,《པེ་》《སྣར་》,ནི།,
,,19,6,《པེ་》《སྣར་》,གཞི།,
,,20,7,《པེ་》《སྣར་》,འགྱུར་བ།,
,,21,8,《པེ་》《སྣར་》,གློག,
,,22,9,《སྣར་》,བརྙེད།,
,,23,10,《པེ་》《ཅོ་》,འབུལ།,
,479,24,1,《པེ་》《སྣར་》,ཀྱི།,
,,25,2,《པེ་》《སྣར་》,ཀྱི།,
,,26,3,《པེ་》《སྣར་》,རི།,
,,27,4,《སྣར་》,པ།,
,,28,5,《པེ་》《སྣར་》,སྐྱེད།,
,,29,6,《པེ་》《སྣར་》,དཔའ།,
,,30,7,《པེ་》《སྣར་》,ཏོ།,
,,31,8,《པེ་》《སྣར་》,གྱི།,
,,32,9,《པེ་》《སྣར་》,pའང་།,
,,33,10,《པེ་》《སྣར་》,བསྒྲགས།,
,,34,11,《པེ་》《སྣར་》,སྡུག་བསྔལ།,
,,35,12,《པེ་》《སྣར་》,ནས།,
,,36,13,《པེ་》《སྣར་》,འབྱུང་།,
,,37,14,《པེ་》《སྣར་》,pནས།,
,,38,15,《པེ་》《སྣར་》,རྗེའི།,
,,39,16,《པེ་》《སྣར་》,pདུ།,
,,40,17,《པེ་》《སྣར་》,པོ་ལ་འང་།,
,,41,18,《པེ་》《སྣར་》,དཀྲི།,
,480,42,1,《སྣར་》,པ།,
,,43,2,《པེ་》《སྣར་》,བསླངས།,
,,44,3,《པེ་》,སྟོན་པར།,《སྣར་》,བསྟོན་པར།
,,45,4,《པེ་》《སྣར་》,ནང་དུ།,
,,46,5,《པེ་》,པའི།,
,,47,6,《པེ་》《སྣར་》,mལ།,
,,48,7,《པེ་》《སྣར་》,འགྲུབ།,
,,49,8,《པེ་》,གང་གིས།,《སྣར་》,གང་གི།
,,50,9,《སྣར་》,པས།,
,,51,10,《པེ་》《སྣར་》,གྱིས།,
,,52,11,《པེ་》《སྣར་》,ཀྱི་དྲངས་པའི།,
,,53,12,《པེ་》《སྣར་》,པ།,
,,54,13,《པེ་》《སྣར་》,pསྤྱོད་པ།,
,481,55,1,《པེ་》《སྣར་》,རི།,
,,56,2,《པེ་》,mཕྱིར་རོ།,
,,57,3,《པེ་》《སྣར་》,འགྲུབ།,
,,58,4,《སྣར་》,ལ།,
,,59,5,《པེ་》《སྣར་》,pལུང་།,
,,60,6,《པེ་》《སྣར་》,པས།,
,,61,7,《པེ་》《སྣར་》,གཞི།,
,,62,8,《པེ་》《སྣར་》,པར།,
,,63,9,《པེ་》《སྣར་》,mཆེར།,
,,64,10,《པེ་》《སྣར་》,pལུང་།,
,,65,11,《པེ་》《སྣར་》,དེ།,
,,66,12,《པེ་》《སྣར་》,ཀྱི།,
,482,67,1,《པེ་》《སྣར་》,mཚེ།,
,,68,2,《པེ་》《སྣར་》,ལྐུག,
,,69,3,《པེ་》《སྣར་》,འདྲི།,
,,70,4,《པེ་》《སྣར་》,དག,
,,71,5,《ཅོ་》,རིམས།,
,,72,6,《པེ་》《སྣར་》,དགེ་བའི།,
,483,73,1,《པེ་》《སྣར་》《ཅོ་》,ལ།,
,,74,2,《པེ་》《སྣར་》,རི།,
,,75,3,《པེ་》《སྣར་》,pགི།,
,,76,4,《སྣར་》,ཆད།,
,,77,5,《པེ་》《སྣར་》,པ།,
,,78,6,《པེ་》《སྣར་》,pདྲངས།,
,,79,7,《པེ་》《སྣར་》,བབ།,
,,80,8,《པེ་》《སྣར་》,བྱ།,
,,81,9,《སྣར་》,མ།,
,,82,10,《པེ་》《སྣར་》,སྐོར།,
,,83,11,《ཅོ་》,བསྒྲག།,
,,84,12,《པེ་》《སྣར་》,གླག,
,,85,13,《པེ་》《སྣར་》,mལ།,
,484,86,1,《པེ་》《སྣར་》,ཅིག,
,,87,2,《པེ་》《སྣར་》,pདང་།,
,,88,3,《པེ་》《སྣར་》,ལ།,
,,89,4,《པེ་》《སྣར་》,དེ།,
,,90,5,《པེ་》《སྣར་》,པོ།,
,,91,6,《པེ་》《སྣར་》,ག,
,,92,7,《པེ་》《སྣར་》,པ།,
,,93,8,《སྣར་》,སྟན།,
,,94,9,《པེ་》《སྣར་》,mདབང་།,
,,95,10,《པེ་》《སྣར་》,ལས།,
,,96,11,《པེ་》《སྣར་》,གི།,
,,97,12,《པེ་》《སྣར་》,གསོད་པར།,
,,98,13,《པེ་》《སྣར་》,mགྱིས།,
,,99,14,《ཅོ་》,བ།,
,,100,15,《སྣར་》,གཅོད།,
,,101,16,《པེ་》《སྣར་》,འཐུང་ཞིག,《ཅོ་》,འཐུངས་ཤིག
,,102,17,《པེ་》《སྣར་》,mཡུལ།,
,,103,18,《པེ་》,བྱུང་།,
,,104,19,《པེ་》,བཏང་།,《ཅོ་》,mགཏང་།
,,105,20,《པེ་》,དང་བཟའ།,《སྣར་》,ད་རབ་ཟ།
,,106,21,《པེ་》《སྣར་》,འཐུང་།,
