མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,
རྣམ་པར་བཤད་པའི་རིགས་པ།,81,2,1,《པེ་》《སྣར་》,རྣམ་བཤད་རིགས་པ་དབྱིག་གཉེན་གྱིས་མཛད་པ་བཞུགས།  ,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།  
,,3,2,《པེ་》《སྣར་》,ནས།,,,,,
,,4,3,《སྣར་》,བཞི།,,,,,
,,5,4,《པེ་》《སྣར་》,བསག,,,,,
,82,6,1,《སྣར་》,ལྷ་མ།,,,,,
,,7,2,《པེ་》《སྣར་》,སྲུངས་པའི།,,,,,
,,8,3,《སྣར་》,pཔར།,,,,,
,,9,4,《པེ་》,པའི།,,,,,
,,10,5,《པེ་》《སྣར་》,བསླུ།,,,,,
,,11,6,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,12,7,《པེ་》《སྣར་》,mཔ།,,,,,
,83,13,1,《པེ་》《སྣར་》,mསྔ།,,,,,
,,14,2,《པེ་》《སྣར་》,ནོ།,,,,,
,,15,3,《པེ་》《སྣར་》,pདང་།,,,,,
,,16,4,《པེ་》《སྣར་》,པ།,,,,,
,,17,5,《སྣར་》,པ།,,,,,
,,18,6,《པེ་》《སྣར་》,pབྱེད།,,,,,
,,19,7,《པེ་》《སྣར་》,ཀྱི་རྒྱུད།,,,,,
,84,20,1,《པེ་》《སྣར་》,mནི།,,,,,
,,21,2,《སྣར་》,བརྗོད།,,,,,
,,22,3,《སྣར་》,འཕྱེད།,,,,,
,,23,4,《པེ་》《སྣར་》《ཅོ་》,འཕྱར།,,,,,
,,24,5,《པེ་》《སྣར་》,mཞེས།,,,,,
,,25,6,《པེ་》《སྣར་》,ཏོ།,,,,,
,,26,7,《སྣར་》,བརྗོད།,,,,,
,,27,8,《པེ་》《སྣར་》,ནི།,,,,,
,,28,9,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,29,10,《པེ་》《སྣར་》,བརྟན།,,,,,
,,30,11,《པེ་》《སྣར་》,ཐོས།,,,,,
,,31,12,《པེ་》《སྣར་》,རིག,,,,,
,85,32,1,《པེ་》《སྣར་》,སྦྱོར།,,,,,
,,33,2,《པེ་》《སྣར་》,བཅས་ཀྱི།,,,,,
,,34,3,《པེ་》《སྣར་》,འདི་ལྟར།,,,,,
,,35,4,《པེ་》《སྣར་》,ནི།,,,,,
,,36,5,《པེ་》《སྣར་》,pཉིད།,,,,,
,86,37,1,《པེ་》《སྣར་》,འདི་ཡི།,,,,,
,,38,2,《པེ་》《སྣར་》,དགོངས།,,,,,
,,39,3,《པེ་》《སྣར་》,སྟིས།,,,,,
,,40,4,《པེ་》《སྣར་》,རིམས།,,,,,
,,41,5,《སྣར་》,བརྩོན།,,,,,
,,42,6,《པེ་》《སྣར་》,བསམས།,,,,,
,,43,7,《པེ་》《སྣར་》,གཟེང་།,,,,,
,87,44,1,《པེ་》《སྣར་》,གཟེང་བསྟོད།,,,,,
,,45,2,《པེ་》《སྣར་》,ན།,,,,,
,,46,3,《སྣར་》,མཆོག,,,,,
,,47,4,《པེ་》《སྣར་》,སྐྱེ་བོའི།,,,,,
,,48,5,《པེ་》《སྣར་》,mཔར་རིག,,,,,
,,49,6,《པེ་》《སྣར་》,mདོན།,,,,,
,88,50,1,《པེ་》《སྣར་》,རྟག,,,,,
,,51,2,《པེ་》,ནན།, 《སྣར་》,མད།,,,
,,52,3,《པེ་》《སྣར་》,mདེ་ནི།,,,,,
,,53,4,《ཅོ་》,པར།,,,,,
,,54,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,55,6,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,56,7,《པེ་》《སྣར་》,mལ།,,,,,
,,57,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,58,9,《པེ་》《སྣར་》,གི།,,,,,
,,59,10,《ཅོ་》,རྟོགས།,,,,,
,,60,11,《པེ་》《སྣར་》,སོ།,,,,,
,,61,12,《པེ་》《སྣར་》,གི།,,,,,
,,62,13,《པེ་》《སྣར་》,བ།,,,,,
,89,63,1,《པེ་》《སྣར་》,mབྱེད་པ་ནི་གུས་པར།,,,,,
,,64,2,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,65,3,《སྣར་》,མི།,,,,,
,,66,4,《པེ་》,འཕོགས།,,,,,
,,67,5,《པེ་》《སྣར་》,གཡོས་པར།,,,,,
,,68,6,《པེ་》《སྣར་》,དེ་ལྟ།,,,,,
,,69,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,70,8,《པེ་》《སྣར་》,པ།,,,,,
,,71,9,《པེ་》《སྣར་》,mའདུ་འཛི་ལ་དགའ་བ་དང་།,,,,,
,,72,10,《པེ་》《སྣར་》,དང་།,,,,,
,,73,11,《སྣར་》,pདེ།,,,,,
,,74,12,《སྣར་》,གདུལ།,,,,,
,,75,13,《ཅོ་》,སྤོངས་པ།,,,,,
,,76,14,《པེ་》《སྣར་》,གདུལ།,,,,,
,,77,15,《པེ་》《སྣར་》,བརྙེད།,,,,,
,90,78,1,《པེ་》《སྣར་》,mནུས་པ་མ་ཡིན་མཐོང་བར།,,,,,
,,79,2,《སྣར་》,མ་ཐོབ།,,,,,
